package,path,dep,version,type
@hotmess/admin,packages/hotmess-ops-pack/ops_pack/apps/admin/package.json,react,18.2.0,dep
@hotmess/web,apps/web/package.json,react,18.2.0,dep
hotmess,apps/hotmess-repo/package.json,react,18.3.1,dep
hotmess,apps/hotmess-repo-enterprise/package.json,react,18.3.1,dep
hotmess,apps/hotmess-repo-final/package.json,react,18.3.1,dep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,react,latest,dep
hotmess-all-in-one,apps/hotmess-dj-bios-patch/package.json,react,18.3.1,dep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,react,latest,dep
@hotmess/admin,apps/admin/package.json,react-dom,18.2.0,dep
@hotmess/admin,packages/hotmess-ops-pack/ops_pack/apps/admin/package.json,react-dom,18.2.0,dep
@hotmess/web,apps/web/package.json,react-dom,18.2.0,dep
hotmess,apps/hotmess-repo/package.json,react-dom,18.3.1,dep
hotmess,apps/hotmess-repo-enterprise/package.json,react-dom,18.3.1,dep
hotmess,apps/hotmess-repo-final/package.json,react-dom,18.3.1,dep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,react-dom,latest,dep
hotmess-all-in-one,apps/hotmess-dj-bios-patch/package.json,react-dom,18.3.1,dep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,react-dom,latest,dep
@hotmess/admin,apps/admin/package.json,tailwindcss,^3.4.4,devDep
@hotmess/admin,packages/hotmess-ops-pack/ops_pack/apps/admin/package.json,tailwindcss,^3.4.4,devDep
@hotmess/web,apps/web/package.json,tailwindcss,^3.4.4,devDep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,tailwindcss,latest,devDep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,tailwindcss,latest,devDep
hotmess,apps/hotmess-repo/package.json,tsx,^4.7.0,devDep
hotmess,apps/hotmess-repo-enterprise/package.json,tsx,^4.7.0,devDep
hotmess,apps/hotmess-repo-final/package.json,tsx,^4.7.0,devDep
@hotmess/admin,apps/admin/package.json,typescript,^5.3.3,devDep
@hotmess/admin,packages/hotmess-ops-pack/ops_pack/apps/admin/package.json,typescript,^5.3.3,devDep
@hotmess/web,apps/web/package.json,typescript,^5.3.3,devDep
hotmess,apps/hotmess-repo/package.json,typescript,^5.4.0,devDep
hotmess,apps/hotmess-repo-enterprise/package.json,typescript,^5.4.0,devDep
hotmess,apps/hotmess-repo-final/package.json,typescript,^5.4.0,devDep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,typescript,latest,devDep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,typescript,latest,devDep
@hotmess/admin,apps/admin/package.json,zod,^3.23.8,dep
@hotmess/admin,packages/hotmess-ops-pack/ops_pack/apps/admin/package.json,zod,^3.23.8,dep
hotmess,apps/hotmess-repo/package.json,zod,^3.23.8,dep
hotmess,apps/hotmess-repo-enterprise/package.json,zod,^3.23.8,dep
hotmess,apps/hotmess-repo-final/package.json,zod,^3.23.8,dep
